Projeto;Tipo;Data Ensaio;Duraçao
E1110963A;CT;17/04/2019;3
E1110964A;CT;27/08/2018;3
E1111044A;CT;04/06/2018;3
E1111066A;CT;22/01/2018;3
E1111068A;CT;26/03/2018;4
E1111076A;CT;13/03/2018;2
E1111078A;CT;01/02/2018;2
E1111085A;CT;18/10/2017;3
E1111086A;CT;02/05/2018;2
E1111087A;CT;03/01/2018;3
E1111088A;CT;20/12/2017;2
E1111089A;CT;05/07/2018;2
E1111090A;CT;25/06/2018;3
E1111091A;CT;05/02/2018;2
E1111092A;CT;06/09/2018;3
E1111093A;CT;02/08/2018;3
E1111094A;CT;06/08/2018;5
E1111095A;CT;22/10/2018;3
E1111096A;CT;14/12/2017;2
E1111098A;CT;06/08/2018;3
E1111099A;CT;14/02/2018;2
E1111101A;CT;04/12/2017;2
E1111102A;CT;14/06/2018;3
E1111103A;CT;28/06/2018;2
E1111104A;CT;28/02/2019;3
E1111106A;CT;06/08/2019;5
E1111107A;CT;20/08/2019;4
E1111108A;CT;20/08/2019;4
E1111109A;CT;25/09/2019;4
E1111110A;CT;27/01/2021;3
E1111111A;CT;02/04/2021;3
E1111112A;CT;07/09/2020;4
E1111113A;CT;28/10/2020;3
E1111116A;CT;07/02/2018;3
E1111117A;CT;21/05/2018;3
E1111118A;CT;09/08/2018;2
E1111119A;CT;02/01/2020;3
E1111120A;CT;28/01/2019;3
E1111121A;CT;31/01/2019;2
E1111124A;CT;24/09/2018;3
E1111124Y;CT;05/06/2019;3
E1111125A;CT;13/01/2020;3
E1111125Y;CT;26/02/2021;3
E1111126A;CT;14/10/2020;3
E1111127A;CT;11/06/2018;3
E1111128A;CT;02/04/2018;4
E1111130A;CT;17/01/2019;3
E1111131A;CT;14/01/2019;3
E1111132A;CT;26/12/2018;3
E1111133A;CT;14/11/2019;3
E1111134A;CT;10/05/2018;2
E1111135A;CT;04/05/2018;3
E1111136A;CT;11/07/2018;4
E1111137A;CT;20/02/2019;3
E1111138A;CT;07/06/2018;3
E1111139A;CT;07/06/2018;3
E1111140A;CT;26/02/2018;2
E1111141A;CT;26/02/2018;2
E1111143A;CT;30/07/2018;3
E1111144A;CT;26/04/2018;2
E1111145A;CT;09/07/2018;3
E1111146A;CT;19/07/2018;3
E1111147A;CT;23/08/2019;3
E1111148A;CT;06/02/2020;3
E1111149A;CT;12/09/2018;3
E1111150A;CT;28/09/2018;4
E1111151A;CT;17/07/2018;3
E1111152A;CT;25/10/2018;2
E1111153A;CT;01/08/2019;3
E1111154A;CT;27/09/2018;4
E1111156A;CT;25/10/2018;2
E1111157A;CT;19/04/2018;1
E1111158A;CT;29/05/2018;2
E1111159A;CT;21/11/2018;3
E1111160A;CT;29/08/2019;3
E1111161A;CT;30/08/2018;7
E1111162A;CT;03/10/2018;2
E1111163A;CT;08/10/2018;3
E1111164A;CT;20/05/2019;4
E1111167A;CT;02/08/2019;3
E1111168A;CT;23/08/2019;3
E1111169A;CT;13/11/2018;2
E1111172A;CT;19/11/2018;1
E1111173A;CT;28/12/2018;2
E1111174A;CT;05/11/2018;2
E1111175A;CT;05/11/2018;1
